year,TotBio,Age4plus,Spbio,Range,Age0,Rec_Range,Depletion,Depl_Range,Rec_Dev_Bias_Adjust,Rec_Dev_Value,Rec_Dev_Parm_StDev,SD,SR_Pred,resids,DF1,DF2,DF3,DF4
1975,435809,402501,181085,(103554-258616),30598,(0-124637),1.23,(0.81-1.64),Main_RecrDev_1975,0.691487,1.5609,1.5609,14039.93217,16558.06783,-1.320611296,0.461906995,1.070945471,0.718586864
1976,426422,381823,172398,(98221-246575),22637,(0-86917),1.17,(0.78-1.56),Main_RecrDev_1976,0.394636,1.43861,1.43861,13993.84737,8643.152626,-0.491010638,-0.084116185,-0.306969794,1.458705028
1977,407975,378002,159658,(89068-230248),21509,(0-68585),1.08,(0.71-1.45),Main_RecrDev_1977,0.578792,1.10523,1.10523,13917.85738,7591.142618,-0.531061039,-0.477809161,1.141522311,1.79589826
1978,405610,367147,157415,(89223-225607),10121,(0-39372),1.07,(0.71-1.42),Main_RecrDev_1978,0.0541656,1.44327,1.44327,13903.30001,-3782.300006,0.129582355,-0.180471236,0.666964194,2.087667318
1979,396712,367426,154181,(88289-220073),39715,(0-80280),1.04,(0.70-1.39),Main_RecrDev_1979,1.65128,0.548881,0.548881,13881.62189,25833.37811,-0.743266604,-0.299968695,-0.010362143,1.440377904
1980,379914,350471,144902,(81085-208719),13675,(0-38198),0.98,(0.65-1.31),Main_RecrDev_1980,0.819552,0.88783,0.88783,13814.48346,-139.4834647,0.222497577,-0.303060796,0.06946429,2.301122861
1981,376806,346862,143038,(81271-204805),17536,(0-38971),0.97,(0.65-1.29),Main_RecrDev_1981,1.06965,0.629504,0.629504,13800.03122,3735.968776,-0.211852076,-0.99230559,-1.060660456,3.01996668
1982,370325,331647,139745,(80146-199344),7580,(0-19268),0.95,(0.64-1.25),Main_RecrDev_1982,0.233559,0.776953,0.776953,13773.63553,-6193.635533,-0.179761115,1.290941956,0.386213296,3.457216658
1983,352221,332555,134086,(76825-191347),4350,(0-12162),0.91,(0.62-1.20),Main_RecrDev_1983,-0.317082,0.897816,0.897816,13725.50759,-9375.507585,-0.107461898,1.756445354,-2.149606737,3.748853565
1984,334467,317695,129733,(74789-184677),23440,(10682-36197),0.88,(0.60-1.16),Main_RecrDev_1984,1.37108,0.2638,0.2638,13685.88376,9754.11624,0.136052615,-0.806871163,-1.448696154,3.675050704
1985,318630,305650,124643,(72167-177119),23921,(9311-38532),0.84,(0.58-1.11),Main_RecrDev_1985,1.39632,0.289847,0.289847,13636.36483,10284.63517,-0.569370255,0.056969541,0.161065244,3.666271654
1986,305388,285260,117390,(67683-167097),15059,(2001-28117),0.79,(0.54-1.05),Main_RecrDev_1986,0.941186,0.430319,0.430319,13559.1059,1499.894102,-0.276925182,0.054252981,0.239248789,4.082686419
1987,294277,263026,109742,(62861-156623),11645,(0-23749),0.74,(0.51-0.98),Main_RecrDev_1987,0.6932,0.519198,0.519198,13467.72204,-1822.722045,-0.705903077,0.451501351,-0.442876547,4.790538249
