stockid,stocklong,TBbest,TCbest,ERbest,BdivBmsypref,UdivUmsypref,BdivBmgtpref,UdivUmgtpref,TB,SSB,TN,R,TC,TL,RecC,F,ER,TBdivTBmsy,SSBdivSSBmsy,NdivNmsy,FdivFmsy,ERdivERmsy,CdivMSY,CdivMEANC,TBdivTBmgt,SSBdivSSBmgt,NdivNmgt,FdivFmgt,ERdivERmgt,Cpair,TAC,Cadvised,survB,CPUE,EFFORT
ACADRED2J3K,Acadian redfish NAFO Division 2J3K,TB-MT,TC-MT,ER-calc-ratio,,,,,TB-MT,,,,TC-MT,,,,ER-calc-ratio,,,,,,TC-MT/MSY-MT,TC-MT,,,,,,,,,,,
ACADRED3LNO-UT12,Acadian redfish NAFO Division 3LNO and Units 1 and 2,TB-MT,TC-MT,ER-calc-ratio,,,,,TB-MT,,,,TC-MT,,,,ER-calc-ratio,,,,,,TC-MT/MSY-MT,TC-MT,,,,,,,,,,,
ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,,TC-MT,ER-ratio,SSBdivSSBmsy-calc-dimensionless,FdivFmsy-calc-dimensionless,SSBdivSSBmsy-calc-dimensionless,FdivFmsy-calc-dimensionless,,SSB-MT,,R-E00,TC-MT,TL-MT,,F-1/yr,ER-ratio,,SSB-MT/SSBmsy-MT,,F-1/yr/Fmsy-1/yr,,TC-MT/MSY-MT,TC-MT,,,,,,,,,,,
ACADREDUT3,Acadian redfish Unit 3,TB-MT,TC-MT,ER-calc-ratio,,,,,TB-MT,,,,TC-MT,,,,ER-calc-ratio,,,,,,TC-MT/MSY-MT,TC-MT,,,,,,,,,,,
ACMACKSARG,Argentine chub mackerel Southern Argentina,TB-MT,TL-MT,ER-calc-ratio,SSBdivSSBmsy-calc-dimensionless,FdivFmsy-calc-dimensionless,SSBdivSSBmgt-calc-dimensionless,FdivFmgt-calc-dimensionless,TB-MT,SSB-MT,,R-E00,,TL-MT,,F-1/yr,ER-calc-ratio,,SSB-MT/SSBmsy-pr-MT,,F-1/yr/Fmsy-pr-1/yr,,,TL-MT,,SSB-MT/SSBmgt-MT,,F-1/yr/Fmgt-1/yr,,Cpair-MT,TAC-MT,Cadvised-MT,,,
AFLONCH,Alfonsino Chile,TB-MT,TL-MT,ER-calc-ratio,,,,,TB-MT,SSB-MT,,R-E00,,TL-MT,,,ER-calc-ratio,,,,,,,TL-MT,,,,,,,,,,,
ALBAIO,Albacore tuna Indian Ocean,,TL-MT,,SSBdivSSBmsy-dimensionless,FdivFmsy-dimensionless,SSBdivSSBmsy-dimensionless,FdivFmsy-dimensionless,,SSB-MT,,,,TL-MT,,,,,SSBdivSSBmsy-dimensionless,,FdivFmsy-dimensionless,,TL-MT/MSY-MT,TL-MT,,,,,,,,,,,
ALBAMED,Albacore tuna Mediterranean Sea,TB-MT,TL-MT,ER-calc-ratio,TBdivTBmsy-dimensionless,FdivFmsy-dimensionless,TBdivTBmsy-dimensionless,FdivFmsy-dimensionless,TB-MT,,,,TC-MT,TL-MT,,,ER-calc-ratio,TBdivTBmsy-dimensionless,,,FdivFmsy-dimensionless,ER-calc-ratio/ERmsy-calc-ratio,TC-MT/MSY-MT,TL-MT,,,,,,,,,,,
ALBANATL,Albacore tuna Northern Atlantic,TB-MT,TL-MT,ER-calc-ratio,TBdivTBmsy-dimensionless,FdivFmsy-dimensionless,TBdivTBmsy-dimensionless,FdivFmsy-dimensionless,TB-MT,,,,TC-MT,TL-MT,,F-1/yr,ER-calc-ratio,TBdivTBmsy-dimensionless,SSBdivSSBmsy-dimensionless,,FdivFmsy-dimensionless,ER-calc-ratio/ERmsy-calc-ratio,TC-MT/MSY-MT,TL-MT,TB-MT/TBmgt-MT,,,F-1/yr/Fmgt-1/yr,,,TAC-MT,,,,
ALBANPAC,Albacore tuna North Pacific Ocean,TB-MT,TL-MT,ER-calc-ratio,SSBdivSSBmsy-dimensionless,FdivFmsy-dimensionless,SSBdivSSBmsy-dimensionless,FdivFmsy-dimensionless,TB-MT,SSB-MT,,R-E00,TC-MT,TL-MT,,F-1/yr,ER-calc-ratio,,SSBdivSSBmsy-dimensionless,,FdivFmsy-dimensionless,,TC-MT/MSY-MT,TL-MT,,,,,,,,,,,
ALBASATL,Albacore tuna South Atlantic,TB-MT,TL-MT,ER-calc-ratio,TBdivTBmsy-dimensionless,FdivFmsy-dimensionless,TBdivTBmsy-dimensionless,FdivFmsy-dimensionless,TB-MT,,,,TC-MT,TL-MT,,F-1/yr,ER-calc-ratio,TBdivTBmsy-dimensionless,,,FdivFmsy-dimensionless,ER-calc-ratio/ERmsy-calc-ratio,TC-MT/MSY-MT,TL-MT,TB-MT/TBmgt-MT,,,F-1/yr/Fmgt-1/yr,,,TAC-MT,,,,
ALBASPAC,Albacore tuna South Pacific Ocean,,TL-MT,,SSBdivSSBmsy-dimensionless,FdivFmsy-dimensionless,SSBdivSSBmsy-dimensionless,FdivFmsy-dimensionless,,SSB-MT,,R-E00,TC-MT,TL-MT,,F-1/yr,,TBdivTBmsy-dimensionless,SSBdivSSBmsy-dimensionless,,FdivFmsy-dimensionless,,TL-MT/MSY-MT,TL-MT,,,,,,,,,,,
ALPLAICBSAI,Alaska plaice Bering Sea and Aleutian Islands,TB-MT,TC-MT,ER-calc-ratio,SSBdivSSBmsy-calc-dimensionless,FdivFmsy-calc-dimensionless,SSBdivSSBmsy-calc-dimensionless,FdivFmsy-calc-dimensionless,TB-MT,SSB-MT,,R-E00,TC-MT,,,F-1/yr,ER-calc-ratio,,SSB-MT/SSBmsy-MT,,F-1/yr/Fmsy-pr-1/yr,,,TC-MT,,,,,,,,,,,
ALSKABSAI,Alaska skate Bering Sea and Aleutian Islands,TB-MT,TC-MT,ER-calc-ratio,SSBdivSSBmsy-calc-dimensionless,,SSBdivSSBmsy-calc-dimensionless,,TB-MT,SSB-MT,,R-E00,TC-MT,,,F-1/yr,ER-calc-ratio,,SSB-MT/SSBmsy-MT,,,,,TC-MT,,,,,,,,,,,
AMPL23K,American plaice Labrador - NE Newfoundland,TB-MT,TC-MT,ER-calc-ratio,,,,,TB-MT,SSB-MT,TN-E00,R-E00,TC-MT,TL-MT,,,ER-calc-ratio,,,,,,,TC-MT,,,,,,Cpair-MT,TAC-MT,,,,
