stockid,tsn,scientificname,commonname,areaid,stocklong,region,primary_country,primary_FAOarea,inmyersdb,myersstockid,state
ACADRED2J3K,166774,Sebastes fasciatus,Acadian redfish,Canada-DFO-2J3K,Acadian redfish NAFO Division 2J3K,Canada East Coast,Canada,21,0,NA,Current
ACADRED3LNO-UT12,166774,Sebastes fasciatus,Acadian redfish,Canada-DFO-3LNO-UT12,Acadian redfish NAFO Division 3LNO and Units 1 and 2,Canada East Coast,Canada,21,0,NA,Current
ACADREDGOMGB,166774,Sebastes fasciatus,Acadian redfish,USA-NMFS-5YZ,Acadian redfish Gulf of Maine / Georges Bank,US East Coast,USA,21,0,NA,Current
ACADREDUT3,166774,Sebastes fasciatus,Acadian redfish,Canada-DFO-UT3,Acadian redfish Unit 3,Canada East Coast,Canada,21,0,NA,Current
ACMACKSARG,172413,Scomber colias,Argentine chub mackerel,Argentina-CFP-ARG-S,Argentine chub mackerel Southern Argentina,South America,Argentina,41,0,NA,Current
AFLONCH,166156,Beryx splendens,Alfonsino,multinational-SPRFMO-CHL,Alfonsino Chile,South America,Chile,87,0,NA,Current
ALBAIO,172419,Thunnus alalunga,Albacore tuna,multinational-IOTC-IO,Albacore tuna Indian Ocean,Indian Ocean,Taiwan,57,0,,Current
ALBAMED,172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-MED,Albacore tuna Mediterranean Sea,Mediterranean-Black Sea,Spain,37,0,,Current
ALBANATL,172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-NATL,Albacore tuna Northern Atlantic,Atlantic Ocean,Spain,27,0,NA,Current
ALBANPAC,172419,Thunnus alalunga,Albacore tuna,multinational-ISC-NPAC,Albacore tuna North Pacific Ocean,Pacific Ocean,Japan,61,0,NA,Current
ALBASATL,172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-SATL,Albacore tuna South Atlantic,Atlantic Ocean,Taiwan,47,0,,Current
ALBASPAC,172419,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC,Albacore tuna South Pacific Ocean,Pacific Ocean,Taiwan,81,1,ALBASPAC,Current
ALPLAICBSAI,172901,Pleuronectes quadrituberculatus,Alaska plaice,USA-NMFS-BSAI,Alaska plaice Bering Sea and Aleutian Islands,US Alaska,USA,67,0,NA,Current
ALSKABSAI,160939,Bathyraja parmifera,Alaska skate,USA-NMFS-BSAI,Alaska skate Bering Sea and Aleutian Islands,US Alaska,USA,67,0,NA,Current
AMPL23K,172877,Hippoglossoides platessoides,American plaice,Canada-DFO-23K,American plaice Labrador - NE Newfoundland,Canada East Coast,Canada,21,0,NA,Current
AMPL3LNO,172877,Hippoglossoides platessoides,American plaice,multinational-NAFO-3LNO,American plaice Grand Banks,Canada East Coast,Canada,21,1,AMPL3LNO,Current
AMPL3M,172877,Hippoglossoides platessoides,American plaice,multinational-NAFO-3M,American plaice Flemish Cap,Canada East Coast,Spain,21,1,AMPL3M,Current
AMPL3Ps,172877,Hippoglossoides platessoides,American plaice,Canada-DFO-3Ps,American plaice St. Pierre Bank,Canada East Coast,Canada,21,1,AMPL3Ps,Current
AMPL4T,172877,Hippoglossoides platessoides,American plaice,Canada-DFO-4T,American plaice Southern Gulf of St. Lawrence,Canada East Coast,Canada,21,0,,Current
AMPL4VWX,172877,Hippoglossoides platessoides,American plaice,Canada-DFO-4VWX,American plaice Scotian Shelf and Bay of Fundy,Canada East Coast,Canada,21,0,NA,Current
AMPL5YZ,172877,Hippoglossoides platessoides,American plaice,USA-NMFS-5YZ,American plaice Gulf of Maine / Georges Bank,US East Coast,USA,21,1,AMPL5YZ,Current
ANCHIXa,161831,Engraulis encrasicolus,Anchovy,multinational-ICES-IXa,Anchovy Portugese Waters -East,European Union,Spain,27,0,NA,Current
ANCHMEDGSA1,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA1,Anchovy Northern Alboran Sea,Mediterranean-Black Sea,Spain,37,0,NA,Current
ANCHMEDGSA16,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA16,Anchovy South of Sicily,Mediterranean-Black Sea,Italy,37,0,NA,Current
ANCHMEDGSA17,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA17,Anchovy Northern Adriatic Sea,Mediterranean-Black Sea,Italy,37,0,,Deprecated
ANCHMEDGSA17-18,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA17-18,"Anchovy Adriatic Sea (GSA 17,18)",Mediterranean-Black Sea,Italy,37,0,NA,Current
ANCHMEDGSA19,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA19,Anchovy Western Ionian Sea,Mediterranean-Black Sea,Italy,37,0,NA,Current
ANCHMEDGSA20,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA20,Anchovy Eastern Ionian Sea,Mediterranean-Black Sea,Greece,37,0,NA,Current
ANCHMEDGSA22,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA22,Anchovy Aegean Sea,Mediterranean-Black Sea,Greece,37,0,NA,Current
ANCHMEDGSA29,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA29,Anchovy Black Sea,Mediterranean-Black Sea,Turkey,37,0,NA,Current
ANCHMEDGSA6,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA6,Anchovy Northern Spain,Mediterranean-Black Sea,Spain,37,0,NA,Current
ANCHMEDGSA7,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA7,Anchovy Gulf of Lions,Mediterranean-Black Sea,France,37,0,NA,Current
ANCHMEDGSA9,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA9,Anchovy Ligurian and North Tyrrhenian Sea,Mediterranean-Black Sea,Italy,37,0,NA,Current
ANCHOBAYB,161831,Engraulis encrasicolus,Anchovy,multinational-ICES-VIII,Anchovy Bay of Biscay,European Union,Spain,27,1,ANCHOBAYB,Current
ANCHOSA,161831,Engraulis encrasicolus,Anchovy,South Africa-DETMCM-SA,Anchovy South Africa,South Africa,South Africa,47,1,SAANCH,Current
ANCHOVYKILKACS,551220,Clupeonella engrauliformis,Anchovy kilka,Iran-Iran-CS,Anchovy kilka Iranian Caspian Sea,Other,Iran,4,0,NULL,Current
ANCHOWA,161831,Engraulis encrasicolus,Anchovy,multinational-FAO-WA,Anchovy West Africa,West Africa,Mauritania,34,0,NA,Current
ANGLMEDGSA15-16,164502,Lophius budegassa,Black bellied angler,multinational-GFCM-GSA15-16,"Black bellied angler Malta Island and South of Sicily (GSA 15, 16)",Mediterranean-Black Sea,Italy,37,0,NA,Current
ANGLMEDGSA5,164502,Lophius budegassa,Black bellied angler,multinational-GFCM-GSA5,Black bellied angler Balearic Island,Mediterranean-Black Sea,Spain,37,0,NA,Current
ANGLMEDGSA6,164502,Lophius budegassa,Black bellied angler,multinational-GFCM-GSA6,Black bellied angler Northern Spain,Mediterranean-Black Sea,Spain,37,0,NA,Current
ANGLMEDGSA7,164502,Lophius budegassa,Black bellied angler,multinational-GFCM-GSA7,Black bellied angler Gulf of Lions,Mediterranean-Black Sea,France,37,0,NA,Current
ANGLVIIIc-IXa,164502,Lophius budegassa,Black bellied angler,multinational-ICES-VIIIc-IXa,Black bellied angler ICES 8c-9a,European Union,Portugal,27,0,NA,Current
ANGLVII-VIIIabd,164502,Lophius budegassa,Black bellied angler,multinational-ICES-VII-VIIIabd,Black bellied angler ICES 7-8abd,European Union,Spain,27,0,NA,Current
APOLLNEMS,164722,Theragra chalcogramma,Walleye pollock,Japan-FAJ-NEMS,Walleye pollock Nemuro Strait,Japan,Japan,61,0,NA,Current
APOLLNSJ,164722,Theragra chalcogramma,Walleye pollock,Japan-FAJ-NSJ,Walleye pollock Sea of Japan North,Japan,Japan,61,0,NA,Current
APOLLOKS,164722,Theragra chalcogramma,Walleye pollock,Japan-FAJ-OKS,Walleye pollock Okhotsk Sea,Japan,Japan,61,0,NA,Current
APOLLPJPN,164722,Theragra chalcogramma,Walleye pollock,Japan-FAJ-PJPN,Walleye pollock Pacific Coast of Japan,Japan,Japan,61,0,NA,Current
APSHRIMPSOJ,621110,Pandalus eous,Alaskan pink shrimp,Japan-FAJ-SOJ,Alaskan pink shrimp Sea of Japan,Japan,Japan,61,0,NA,Current
ARCSURF4RST,80983,Mactromeris polynyma,Arctic surfclam,Canada-DFO-Q4RST,Arctic surfclam Quebec and Gulf of St. Lawrence,Canada East Coast,Canada,21,0,NA,Current
ARCSURFBANQ,80983,Mactromeris polynyma,Arctic surfclam,Canada-DFO-BANQ,Arctic surfclam Banquereau,Canada East Coast,Canada,21,0,NA,Current
ARCSURFGB,80983,Mactromeris polynyma,Arctic surfclam,Canada-DFO-3LNO,Arctic surfclam Division 3LNO,Canada East Coast,Canada,21,0,,Current
ARCSURFQCW,80983,Mactromeris polynyma,Arctic surfclam,Canada-DFO-QCW,Arctic surfclam Quebec Coastal Waters,Canada East Coast,Canada,21,0,NA,Current
ARFLOUNDBSAI,616029,Atheresthes stomias,Arrowtooth flounder,USA-NMFS-BSAI,Arrowtooth flounder Bering Sea and Aleutian Islands,US Alaska,USA,67,0,NA,Current
ARFLOUNDGA,616029,Atheresthes stomias,Arrowtooth flounder,USA-NMFS-GA,Arrowtooth flounder Gulf of Alaska,US Alaska,USA,67,0,NA,Current
ARFLOUNDPCOAST,616029,Atheresthes stomias,Arrowtooth flounder,USA-NMFS-PCOAST,Arrowtooth flounder Pacific Coast,US West Coast,USA,67,0,NA,Current
ARGANCHONARG,551338,Engraulis anchoita,Argentine anchoita,Argentina-CFP-ARG-N,Argentine anchoita Northern Argentina,South America,Argentina,41,0,NA,Current
ARGANCHOSARG,551338,Engraulis anchoita,Argentine anchoita,Argentina-CFP-ARG-S,Argentine anchoita Southern Argentina,South America,Argentina,41,0,NA,Current
ARGHAKENARG,164800,Merluccius hubbsi,Argentine hake,Argentina-CFP-ARG-N,Argentine hake Northern Argentina,South America,Argentina,41,0,NA,Current
ARGHAKESARG,164800,Merluccius hubbsi,Argentine hake,Argentina-CFP-ARG-S,Argentine hake Southern Argentina,South America,Argentina,41,0,NA,Current
ARGREENNEMS,644357,Pleurogrammus azonus,Arabesque greenling,Japan-FAJ-NEMS,Arabesque greenling Nemuro Strait,Japan,Japan,61,0,NA,Current
ARGREENNHOKK,644357,Pleurogrammus azonus,Arabesque greenling,Japan-FAJ-NHOKK,Arabesque greenling North coast of Hokkaido,Japan,Japan,61,0,NA,Current
ARGREENSHOKK,644357,Pleurogrammus azonus,Arabesque greenling,Japan-FAJ-SHOKK,Arabesque greenling South coast of Hokkaido,Japan,Japan,61,0,NA,Current
ASCADECS,168736,Decapterus muroadsi,Amberstripe scad,Japan-FAJ-ECS,Amberstripe scad East China Sea,Japan,Japan,61,0,NA,Current
ASHARNEATL,160788,Squatina squatina,Angel shark,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Angel shark Northeast Atlantic,European Union,France,27,0,NA,Current
ATBTUNAEATL,172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-EATL,Atlantic bluefin tuna Eastern Atlantic,Atlantic Ocean,Spain,27,1,BTUNAEA,Current
ATBTUNAWATL,172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-WATL,Atlantic bluefin tuna Western Atlantic,Atlantic Ocean,USA,21,1,BTUNAWA,Current
ATHAL3NOPs4VWX5Zc,172933,Hippoglossus hippoglossus,Atlantic halibut,Canada-DFO-3NOPs4VWX5Zc,Atlantic halibut Scotian Shelf and Southern Grand Banks,Canada East Coast,Canada,21,0,NA,Current
ATHAL5YZ,172933,Hippoglossus hippoglossus,Atlantic halibut,USA-NMFS-5YZ,Atlantic halibut Gulf of Maine / Georges Bank,US East Coast,USA,21,0,NA,Current
ATKABSAI,167120,Pleurogrammus monopterygius,Atka mackerel,USA-NMFS-BSAI,Atka mackerel Bering Sea and Aleutian Islands,US Alaska,USA,67,0,NA,Current
ATKAGA,167120,Pleurogrammus monopterygius,Atka mackerel,USA-NMFS-GA,Atka mackerel Gulf of Alaska,US Alaska,USA,67,0,NA,Current
ATLCROAKMATLC,169283,Micropogonias undulatus,Atlantic croaker,USA-NMFS-MATLC,Atlantic croaker Mid-Atlantic Coast,US East Coast,USA,21,0,,Current
ATOOTHFISHRS,642808,Dissostichus mawsoni,Antarctic toothfish,multinational-CCAMLR-RS,Antarctic toothfish Ross Sea,Other,New Zealand,88,0,,Current
AUROCKPCOAST,166709,Sebastes aurora,Aurora rockfish,USA-NMFS-PCOAST,Aurora rockfish Pacific Coast,US West Coast,USA,67,0,NA,Current
AUSSALMONNZ,168827,Arripis trutta,Australian salmon,New Zealand-MFish-NZ,Australian salmon New Zealand,New Zealand,New Zealand,81,0,,Current
AWOLF5YZ,171341,Anarhichas lupus,Atlantic wolffish,USA-NMFS-5YZ,Atlantic wolffish Gulf of Maine / Georges Bank,US East Coast,USA,21,0,NA,Current
BCRABCHESB,98696,Callinectes sapidus,Blue crab,USA-MDSTATE-CHESB,Blue crab Chesapeake Bay,US East Coast,USA,21,0,,Current
BCROAKWASG1,646550,Pseudotolithus elongatus,Bobo croaker,multinational-FAO-SG1,Bobo croaker West Africa Subgroup 1,West Africa,Guinea,34,0,NA,Current
BERYXSPPNEATL,166154,Beryx spp,Beryx spp,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Beryx spp Northeast Atlantic,European Union,Portugal,27,0,NA,Current
BGRDRNSWWA,623193,Macruronus novaezelandiae,Blue grenadier,Australia-AFMA-NSWWA,Blue grenadier New South Wales to Western Australia,Australia,Australia,57,0,NA,Current
BGRDRSE,623193,Macruronus novaezelandiae,Blue grenadier,Australia-AFMA-SE,Blue grenadier Southeast Australia,Australia,Australia,81,0,,Deprecated
BGROCKPCOAST,166728,Sebastes melanostomus,Blackgill rockfish,USA-NMFS-PCOAST,Blackgill rockfish Pacific Coast,US West Coast,USA,77,0,,Current
BGRUNTWASG2,169108,Brachydeuterus auritus,Bigeye grunt,multinational-FAO-SG2,Bigeye grunt West Africa Subgroup 2,West Africa,Ghana,34,0,NA,Current
BGRUNTWASG3,169108,Brachydeuterus auritus,Bigeye grunt,multinational-FAO-SG3,Bigeye grunt West Africa Subgroup 3,West Africa,Nigeria,34,0,NA,Current
BHAKEWASG3,550664,Merluccius polli,Benguela hake,multinational-FAO-SG3,Benguela hake West Africa Subgroup 3,West Africa,Angola,47,0,NA,Current
