tscategory,tsshort,tslong,tsunitsshort,tsunitslong,tsunique
OTHER TIME SERIES DATA,AQ,Aquaculture,MT,metric tons,AQ-MT
OTHER TIME SERIES DATA,ASP,Annual surplus production,MT,Metric tons,ASP-MT
TOTAL BIOMASS,BdivBmgtpref,"General biomass time series preferentially relative to management target, otherwise MSY-BRP (BdivBmgttouse, otherwise BdivBmsytouse)",dimensionless,dimensionless,BdivBmgtpref-dimensionless
TOTAL BIOMASS,BdivBmgttouse,"General biomass time series relative to management target (TB/TBmgt, or SSB/SSBmgt otherwise)",dimensionless,dimensionless,BdivBmgttouse-dimensionless
TOTAL BIOMASS,BdivBmsypref,"General biomass time series preferentially relative to MSY-BRP, otherwise management target (BdivBmsytouse, otherwise BdivBmgttouse)",dimensionless,dimensionless,BdivBmsypref-dimensionless
TOTAL BIOMASS,BdivBmsytouse,"General biomass time series relative to msy reference point (TB/TBmsy, or SSB/SSBmsy otherwise)",dimensionless,dimensionless,BdivBmsytouse-dimensionless
OTHER TIME SERIES DATA,BYCAT,Industrial bycatch,MT,Metric tons,BYCAT-MT
CATCH or LANDINGS,Cadvised,Scientific advice for catch limit (pairs with Cpair and TAC),MT,Metric tons,Cadvised-MT
CATCH or LANDINGS,CdivMEANC,Catch divided by mean catch,ratio,ratio,CdivMEANC-ratio
CATCH or LANDINGS,CdivMSY-conv,Catch divided by MSY calculated from converted reference points,ratio,ratio,CdivMSY-conv-ratio
CATCH or LANDINGS,CdivMSY-est,Catch divided by MSY calculated from model-estimated reference points,ratio,ratio,CdivMSY-est-ratio
CATCH or LANDINGS,CdivMSY-mvo,Catch divided by model version only MSY,ratio,ratio,CdivMSY-mvo-ratio
CATCH or LANDINGS,CdivMSY,Catch divided by MSY,ratio,ratio,CdivMSY-ratio
CATCH or LANDINGS,Cpair,Catch or landings that is paired with TAC,E00,Individuals,Cpair-E00
CATCH or LANDINGS,Cpair,Catch or landings that is paired with TAC,MT,Metric tons,Cpair-MT
SPAWNING STOCK BIOMASS or CPUE,CPUE-1,CPUE alternate,E00/tow,No. per tow,CPUE-1-E00/tow
SPAWNING STOCK BIOMASS or CPUE,CPUE-1,CPUE,E00/trap,No. per trap,CPUE-1-E00/trap
SPAWNING STOCK BIOMASS or CPUE,CPUE-1,CPUE,index,index,CPUE-1-index
